#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1283,1279,0.054088333,0.050641511
273302:4919,05/13/16 02:13:38,459,459,0.017147626,0.016450122
273402:4924,05/14/16 01:49:19,193,193,0.007022182,0.006643308
273403:4924,05/14/16 03:05:27,68,65,0.002481803,0.001837158
273404:4924,05/14/16 03:31:50,22,22,0.000797626,0.000616225
273405:4924,05/14/16 03:42:33,33,28,0.001190426,0.000806201
273406:4924,05/14/16 03:56:09,125,117,0.004440767,0.003803281
273408:4924,05/14/16 04:52:04,9,8,0.000315501,0.000181778
273409:4924,05/14/16 04:56:41,317,314,0.010855813,0.009512812
273410:4924,05/14/16 06:59:49,99,98,0.003294021,0.002753036
273411:4924,05/14/16 07:38:50,29,29,0.000791341,0.000741045
273425:4925,05/14/16 11:17:57,680,678,0.028697081,0.026943660
273446:4926,05/14/16 20:06:55,48,46,0.003362673,0.002161349
273447:4926,05/14/16 20:26:09,419,419,0.027969801,0.026144151
273448:4926,05/14/16 23:11:51,396,396,0.024328483,0.022865029
273449:4926,05/15/16 01:48:09,216,216,0.012516555,0.011832253
273450:4926,05/15/16 03:19:37,643,643,0.033907779,0.032466917
273492:4930,05/16/16 09:07:35,271,267,0.013073533,0.012234310
273493:4930,05/16/16 10:54:39,241,236,0.011385362,0.010582760
273494:4930,05/16/16 12:28:40,192,192,0.008782866,0.008498378
273502:4935,05/16/16 20:00:07,1002,997,0.049621707,0.047207129
273503:4935,05/17/16 02:31:25,598,598,0.026370330,0.025558231
273554:4942,05/18/16 05:30:44,368,366,0.028592347,0.026915316
273555:4942,05/18/16 07:55:51,173,173,0.012672391,0.012263026
273725:4947,05/20/16 02:37:26,2473,2470,0.161911774,0.155963856
273728:4947,05/20/16 19:02:03,112,104,0.005740716,0.004936529
273730:4947,05/20/16 19:47:25,2126,2126,0.089636009,0.087164263
274094:4953,05/27/16 02:21:04,225,225,0.010213593,0.009827929
274146:4956,05/27/16 22:10:11,73,73,0.006208550,0.005422332
274157:4958,05/28/16 11:50:04,433,431,0.043152048,0.040689707
274159:4958,05/28/16 14:43:47,47,43,0.004433784,0.003593492
274160:4958,05/28/16 15:02:52,214,211,0.019584999,0.018178774
274161:4958,05/28/16 16:26:18,516,516,0.044054574,0.042544990
274172:4960,05/29/16 00:45:19,65,65,0.007141239,0.006331700
274198:4961,05/29/16 20:00:35,112,112,0.013365488,0.012189941
274199:4961,05/29/16 20:45:19,630,630,0.070122652,0.066646477
274200:4961,05/30/16 00:52:14,678,678,0.065938162,0.063979504
274240:4964,05/30/16 13:59:19,85,83,0.011053720,0.009915747
274241:4964,05/30/16 14:43:35,1180,1176,0.137665191,0.131683643
274244:4964,05/30/16 22:32:25,607,607,0.060177904,0.058274212
274250:4965,05/31/16 05:55:31,704,703,0.101505626,0.095683610
274251:4965,05/31/16 10:30:54,546,546,0.067563471,0.065403835
274283:4976,06/01/16 03:25:03,22,19,0.003555623,0.000396680
274284:4976,06/01/16 03:34:51,215,213,0.032381796,0.030004139
274286:4976,06/01/16 05:04:18,154,154,0.022531267,0.021565539
274314:4979,06/01/16 15:02:56,69,69,0.012684532,0.010086863
274315:4979,06/01/16 15:32:32,432,425,0.075140997,0.070057444
274316:4979,06/01/16 18:20:25,974,970,0.143324908,0.136610404
274317:4979,06/02/16 00:39:53,22,18,0.002946304,0.000314271
274319:4979,06/02/16 00:56:19,225,225,0.029423353,0.028457824
274335:4980,06/02/16 09:10:43,954,944,0.156251015,0.148181338
274336:4980,06/02/16 15:25:02,20,14,0.002962231,0.001802284
274337:4980,06/02/16 15:32:31,22,17,0.003243256,0.001841747
274338:4980,06/02/16 15:41:22,703,698,0.095969843,0.089906792
274339:4980,06/02/16 20:15:40,99,95,0.012509623,0.011287158
274344:4980,06/02/16 21:27:09,639,639,0.074362694,0.071146254
274345:4980,06/03/16 01:37:46,170,170,0.018443242,0.017880226
274382:4984,06/03/16 15:37:56,51,51,0.008058245,0.007500508
274387:4985,06/03/16 19:10:09,360,355,0.063778435,0.058817639
274388:4985,06/03/16 21:32:38,1820,1820,0.266131720,0.256527308
274420:4988,06/04/16 20:16:58,176,176,0.029986214,0.028364154
274421:4988,06/04/16 21:28:04,356,348,0.058970395,0.054434025
274422:4988,06/04/16 23:46:51,2207,2207,0.288627425,0.279871584
274440:4990,06/05/16 19:32:38,407,406,0.067723310,0.064168997
274441:4990,06/05/16 22:13:06,443,437,0.068510125,0.064548155
274442:4990,06/06/16 01:05:09,752,752,0.103278232,0.099915777
274954:5005,06/11/16 09:40:51,24,21,0.001360833,0.000974299
274955:5005,06/11/16 09:52:07,98,91,0.005444348,0.004820249
274968:5013,06/11/16 22:51:22,1206,1205,0.206776286,0.195698191
274969:5013,06/12/16 06:41:54,1007,1003,0.137658935,0.127759847
274970:5013,06/12/16 13:12:54,47,47,0.005763101,0.004336803
274971:5013,06/12/16 13:33:30,905,905,0.101595307,0.098459293
274998:5017,06/13/16 04:19:30,732,725,0.122789125,0.114126647
274999:5017,06/13/16 09:04:45,1257,1252,0.172086271,0.164254471
275000:5017,06/13/16 17:15:35,140,140,0.016957498,0.015947691
275001:5017,06/13/16 18:12:42,2057,2057,0.204673305,0.199348168
275059:5020,06/14/16 16:49:52,50,42,0.009545888,0.006173178
275066:5020,06/14/16 17:45:35,111,105,0.022386851,0.018455627
275067:5020,06/14/16 18:28:40,396,396,0.075059031,0.071620415
275068:5020,06/14/16 21:05:49,922,921,0.149901050,0.143137052
275073:5020,06/15/16 03:32:47,523,519,0.071799329,0.068508877
275074:5020,06/15/16 06:56:59,647,647,0.078909615,0.076334143
275124:5021,06/15/16 17:50:26,328,328,0.059890435,0.056673718
275125:5021,06/15/16 20:00:21,989,989,0.157464292,0.150728669
275282:5024,06/17/16 00:05:52,96,91,0.016829141,0.014901711
275283:5024,06/17/16 00:43:11,137,132,0.024451785,0.022437984
275284:5024,06/17/16 01:36:53,74,74,0.012930306,0.012449043
275290:5024,06/17/16 03:58:56,55,48,0.008827542,0.002679610
275291:5024,06/17/16 04:28:35,356,352,0.054777261,0.051726835
275292:5024,06/17/16 06:46:47,125,121,0.017014722,0.015676583
275293:5024,06/17/16 07:37:27,200,200,0.026019764,0.025137954
275309:5026,06/17/16 13:48:15,573,570,0.087344146,0.082747896
275310:5026,06/17/16 17:32:53,1939,1935,0.231967786,0.223928386
275311:5026,06/18/16 06:07:07,1253,1253,0.110651647,0.108015050
275319:5027,06/18/16 18:56:15,152,146,0.027849971,0.024647864
275337:5027,06/18/16 21:26:04,433,430,0.072808404,0.068989273
275338:5027,06/19/16 00:15:37,520,520,0.078279634,0.075749680
275344:5028,06/19/16 08:18:25,293,287,0.055037639,0.050722207
275345:5028,06/19/16 10:12:11,353,353,0.062652247,0.059911242
275370:5029,06/19/16 16:19:29,291,291,0.055920212,0.052091600
275371:5029,06/19/16 18:16:49,569,569,0.100184760,0.094980778
275375:5030,06/20/16 02:17:12,1327,1327,0.216056608,0.207472096
275376:5030,06/20/16 10:55:04,3096,3096,0.334800524,0.326027959
275657:5038,06/24/16 03:32:32,111,109,0.021298721,0.018443210
275658:5038,06/24/16 04:16:07,344,344,0.064757702,0.060098562
275659:5038,06/24/16 06:31:38,17,17,0.003062351,0.002957970
275761:5043,06/25/16 04:24:16,11,11,0.002346518,0.001681831
275767:5043,06/25/16 05:31:36,8,8,0.001611087,0.000712075
275772:5043,06/25/16 06:28:17,61,61,0.011821780,0.010451059
275773:5043,06/25/16 06:53:33,21,12,0.004000320,0.001193548
275774:5043,06/25/16 07:01:55,317,316,0.059075303,0.055616598
275776:5043,06/25/16 09:11:23,149,143,0.026301200,0.023487065
275777:5043,06/25/16 10:12:24,304,304,0.051032323,0.048382200
275778:5043,06/25/16 12:13:15,319,319,0.050004335,0.046162239
275782:5043,06/25/16 14:44:49,761,761,0.104347220,0.100440869
275832:5045,06/26/16 17:18:04,371,371,0.079108510,0.073405157
275833:5045,06/26/16 19:45:07,251,251,0.049127955,0.046797338
275834:5045,06/26/16 21:26:02,303,297,0.055576256,0.052459222
275835:5045,06/26/16 23:24:23,20,13,0.003530158,0.002089769
275836:5045,06/26/16 23:32:00,1290,1284,0.197025941,0.186382047
275837:5045,06/27/16 07:59:11,715,715,0.086791850,0.084175665
275847:5045,06/27/16 13:59:22,2263,2263,0.205471945,0.200568283
275886:5048,06/28/16 08:39:25,40,40,0.008804556,0.007663539
275890:5048,06/28/16 09:27:45,1393,1393,0.247481113,0.237643512
275911:5052,06/29/16 01:49:35,382,381,0.078224498,0.073962957
275912:5052,06/29/16 04:21:23,303,297,0.057160526,0.052522090
275913:5052,06/29/16 06:19:55,484,480,0.082897181,0.077387909
275918:5052,06/29/16 09:29:20,332,332,0.051968581,0.050183131
275920:5052,06/29/16 11:54:52,472,472,0.066187039,0.061815814
275921:5052,06/29/16 14:59:30,32,27,0.004313748,0.002717751
275923:5052,06/29/16 15:16:55,127,127,0.016791010,0.016046496
275931:5052,06/29/16 16:34:22,89,89,0.011329903,0.011009937
275963:5056,06/30/16 01:02:54,90,90,0.020866718,0.019769759
276092:5060,07/01/16 02:14:32,80,80,0.016851695,0.014927815
276097:5060,07/01/16 03:07:31,507,507,0.104680330,0.100454353
276242:5069,07/02/16 14:05:34,1649,1649,0.285923997,0.271464551
276243:5069,07/03/16 00:56:20,625,625,0.085468245,0.078522762
276244:5069,07/03/16 05:03:30,1202,1202,0.138837520,0.133636511
276282:5071,07/03/16 18:15:01,1075,1069,0.218300073,0.207841147
276283:5071,07/04/16 01:13:27,1087,1087,0.175660442,0.168603350
276315:5072,07/04/16 11:19:05,186,180,0.038413811,0.034412678
276317:5072,07/04/16 12:32:52,147,140,0.029807500,0.026592538
276318:5072,07/04/16 13:29:46,574,574,0.103913808,0.098975366
276355:5073,07/04/16 21:39:48,34,33,0.006761664,0.006271040
276361:5073,07/04/16 22:36:15,835,831,0.158916764,0.151012639
276363:5073,07/05/16 04:07:36,1486,1480,0.218879031,0.208305512
276384:5073,07/05/16 13:46:43,1117,1117,0.126291957,0.122563645
276437:5076,07/06/16 02:58:47,2125,2125,0.374099525,0.359764792
276454:5076,07/06/16 18:08:15,527,527,0.066435608,0.064517147
276458:5076,07/07/16 02:00:22,341,341,0.034238035,0.033452613
276495:5078,07/07/16 11:20:57,193,187,0.042769815,0.038488031
276501:5078,07/07/16 12:46:30,2555,2550,0.422751217,0.405660552
276502:5078,07/08/16 05:20:54,741,741,0.088980130,0.086178508
276525:5080,07/08/16 14:14:55,2799,2793,0.422460645,0.406933303
276527:5080,07/09/16 08:34:41,214,214,0.023371639,0.022643718
276528:5080,07/09/16 10:00:39,394,394,0.040052211,0.038702583
276542:5083,07/09/16 16:32:22,785,784,0.157981472,0.150098805
276543:5083,07/09/16 21:39:40,961,959,0.157182526,0.149648537
276544:5083,07/10/16 03:53:24,163,161,0.023541266,0.022197194
276545:5083,07/10/16 04:59:01,207,207,0.027974555,0.026880403
276581:5085,07/10/16 12:24:16,369,369,0.078584933,0.074866909
276582:5085,07/10/16 14:52:29,873,873,0.157188413,0.151514659
276583:5085,07/10/16 20:34:28,60,56,0.009614796,0.007915070
276584:5085,07/10/16 20:59:17,2,2,0.000319045,0.000174379
276585:5085,07/10/16 21:31:21,253,246,0.038388804,0.035229364
276586:5085,07/10/16 23:10:08,760,752,0.102328553,0.097861972
276587:5085,07/11/16 04:13:21,1006,1006,0.112642493,0.108607793
276653:5091,07/12/16 00:12:31,491,484,0.092765056,0.087327133
276655:5091,07/12/16 03:26:27,1113,1105,0.174745438,0.163109976
276659:5091,07/12/16 10:39:13,251,251,0.033183422,0.030365549
276775:5093,07/12/16 21:26:20,1174,1165,0.222366754,0.209558613
276776:5093,07/13/16 05:02:29,1823,1823,0.246879948,0.238494780
