#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
278769:5197,08/13/16 06:38:56,37,31,0.009725139,0.007290296
278770:5197,08/13/16 06:54:00,767,767,0.172788929,0.165550062
278801:5198,08/13/16 14:43:37,45,42,0.012090862,0.007893317
278802:5198,08/13/16 15:01:05,21,17,0.004822326,0.001725289
278803:5198,08/13/16 15:10:53,330,323,0.081012943,0.072484096
278804:5198,08/13/16 17:20:06,8,5,0.001837694,0.000755143
278805:5198,08/13/16 17:23:10,288,285,0.062690102,0.056436357
278808:5198,08/13/16 19:25:19,1791,1791,0.282719719,0.272186693
278820:5199,08/14/16 11:00:51,1524,1524,0.302396577,0.289436862
278822:5199,08/14/16 21:52:47,1627,1627,0.199018810,0.192814295
278873:5205,08/15/16 23:25:45,67,60,0.012467992,0.002032904
278874:5205,08/15/16 23:51:53,484,484,0.089088337,0.082659432
278875:5205,08/16/16 03:01:20,834,834,0.121563483,0.116011101
278923:5206,08/16/16 12:16:32,413,413,0.104061633,0.099646041
278957:5209,08/16/16 21:31:36,149,149,0.038154004,0.036574296
278962:5210,08/17/16 01:08:31,351,348,0.084959954,0.076813045
278963:5210,08/17/16 03:24:57,174,174,0.038947004,0.037440157
278969:5211,08/17/16 07:16:52,1394,1394,0.299935281,0.285918226
278975:5211,08/17/16 16:23:16,857,854,0.128052675,0.121101529
278976:5211,08/17/16 21:58:16,20,20,0.002678462,0.002577860
278986:5213,08/18/16 04:02:59,129,129,0.034035976,0.031910669
279024:5219,08/18/16 22:31:53,301,301,0.052734374,0.050088376
279029:5219,08/19/16 02:19:40,260,260,0.040451141,0.038452135
279071:5222,08/19/16 15:40:07,174,174,0.023702023,0.022788491
279080:5223,08/19/16 22:42:50,157,157,0.013339325,0.012876333
279115:5229,08/20/16 22:08:09,407,407,0.088522114,0.085189739
279116:5229,08/21/16 01:36:03,448,448,0.095442823,0.091582776
279479:5247,08/25/16 04:33:24,105,105,0.006335007,0.005993889
279588:5251,08/25/16 21:08:11,1160,1160,0.239315562,0.230879394
279653:5253,08/26/16 14:05:52,188,188,0.047290979,0.043879144
279654:5253,08/26/16 15:21:58,1253,1245,0.252231466,0.242855226
279656:5253,08/26/16 23:49:40,49,49,0.007732698,0.005736806
279658:5253,08/27/16 01:35:19,713,713,0.097035849,0.094227310
279667:5254,08/27/16 09:08:23,966,966,0.218139226,0.210966708
279681:5256,08/27/16 21:57:02,35,28,0.008364055,0.006746151
279682:5256,08/27/16 22:11:02,47,47,0.012396993,0.007864511
279683:5256,08/27/16 22:32:16,34,31,0.008833278,0.006434360
279684:5256,08/27/16 22:46:58,34,30,0.008630114,0.005362302
279685:5256,08/27/16 23:07:12,208,208,0.050571510,0.048949065
279691:5257,08/28/16 03:41:26,54,50,0.013428871,0.009765373
279694:5257,08/28/16 04:03:09,2235,2235,0.422637127,0.410524768
279715:5258,08/28/16 22:01:34,577,577,0.134594200,0.129165228
279716:5258,08/29/16 02:17:06,1638,1638,0.265251087,0.258407241
279760:5261,08/29/16 20:21:24,664,658,0.162292590,0.155199085
279766:5261,08/30/16 01:08:36,1694,1690,0.279515063,0.270889647
279767:5261,08/30/16 12:08:03,776,776,0.092636863,0.090583908
279794:5264,08/30/16 23:41:02,1024,1024,0.232460796,0.225486947
279823:5265,08/31/16 10:00:39,335,335,0.085329204,0.082750019
279841:5266,08/31/16 15:23:17,2040,2040,0.396657811,0.384216979
279844:5267,09/01/16 07:21:16,233,224,0.062263039,0.057240986
279887:5270,09/01/16 23:20:52,319,319,0.078037606,0.074126575
279931:5274,09/02/16 11:37:39,2936,2936,0.495181699,0.479950450
279966:5275,09/03/16 09:20:25,363,363,0.098086749,0.094085114
279975:5276,09/03/16 14:45:09,1024,1024,0.250777578,0.241662520
279993:5277,09/04/16 00:23:27,79,78,0.021506707,0.018287474
279994:5277,09/04/16 00:56:48,59,54,0.016571493,0.012524966
280013:5277,09/04/16 03:35:47,34,32,0.008060322,0.005697175
280015:5277,09/04/16 03:55:19,576,572,0.121708103,0.116388172
280016:5277,09/04/16 07:42:16,163,155,0.030375991,0.026838406
280017:5277,09/04/16 08:45:47,613,613,0.102625897,0.098921384
280018:5277,09/04/16 12:47:05,1282,1282,0.164850851,0.160429977
280020:5277,09/04/16 21:15:15,47,45,0.005040703,0.004651996
280024:5277,09/04/16 21:47:39,427,427,0.042966907,0.042184958
280187:5279,09/05/16 20:24:23,67,60,0.017621742,0.013371081
280188:5279,09/05/16 20:50:25,253,250,0.066904222,0.062262210
280191:5279,09/05/16 22:40:17,908,906,0.189518602,0.180805055
