#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
315257:6615,04/26/18 21:09:40,90,90,0.008301504,0.007929497
315259:6615,04/26/18 21:54:51,172,172,0.014285583,0.013918864
315264:6616,04/27/18 02:45:32,230,230,0.041424694,0.039704129
315265:6616,04/27/18 04:20:05,55,55,0.009321413,0.006454619
315267:6616,04/27/18 04:59:11,244,244,0.038219373,0.037143902
315270:6616,04/27/18 06:44:15,633,633,0.080765637,0.078982147
315322:6617,04/27/18 14:41:34,1329,1329,0.184274144,0.180062920
315339:6618,04/28/18 03:06:24,618,618,0.095692137,0.093349061
315357:6620,04/28/18 19:32:25,776,776,0.155879642,0.151930725
315361:6621,04/29/18 03:17:57,580,580,0.122496652,0.118531849
315363:6621,04/29/18 07:08:34,86,86,0.014901515,0.014489096
315366:6621,04/29/18 08:43:30,736,736,0.101760562,0.100182760
315420:6624,04/29/18 23:54:09,1707,1707,0.264161506,0.258566396
315488:6628,04/30/18 19:08:38,802,802,0.195813245,0.190565168
315489:6628,05/01/18 02:09:59,691,691,0.105241608,0.103438886
315490:6628,05/01/18 06:53:23,24,24,0.002554460,0.002521007
315506:6629,05/01/18 10:08:39,88,88,0.029450789,0.027983477
315510:6629,05/01/18 11:10:29,345,345,0.106813323,0.103173372
315512:6629,05/01/18 13:27:08,1122,1122,0.241306154,0.236873085
315543:6633,05/02/18 04:09:49,117,117,0.037860905,0.036886687
315555:6636,05/02/18 09:42:48,76,76,0.024343897,0.021969124
315556:6636,05/02/18 10:15:53,26,26,0.008976443,0.008395284
315557:6636,05/02/18 10:30:09,279,279,0.086273212,0.084135253
315640:6638,05/02/18 21:31:41,42,42,0.014924956,0.010512585
315641:6638,05/02/18 21:56:12,4,4,0.001524414,0.001237321
315642:6638,05/02/18 22:03:16,92,92,0.032715088,0.031431396
315644:6638,05/02/18 22:42:00,184,184,0.064786702,0.063160277
315645:6638,05/02/18 23:58:43,583,583,0.165008645,0.161091768
315646:6638,05/03/18 03:51:56,1033,1033,0.195446371,0.191965411
315647:6638,05/03/18 10:38:46,58,58,0.008667561,0.008018223
315648:6638,05/03/18 11:04:01,110,110,0.015513783,0.015226193
315689:6639,05/03/18 14:58:22,1111,1111,0.339287921,0.329961140
315690:6639,05/03/18 22:39:08,645,645,0.121163043,0.119002428
315702:6640,05/04/18 08:08:15,76,76,0.024600448,0.022853258
315703:6640,05/04/18 08:40:27,545,545,0.163591296,0.158162957
315704:6640,05/04/18 12:15:58,61,61,0.015167133,0.014739086
315705:6640,05/04/18 12:42:46,698,698,0.134634398,0.132385264
315713:6641,05/04/18 19:35:25,1061,1061,0.365754044,0.353737207
315721:6642,05/05/18 05:08:14,589,589,0.218518264,0.210581417
315741:6643,05/05/18 11:57:43,59,59,0.025217811,0.023717346
315764:6645,05/05/18 15:48:29,273,273,0.119106781,0.114012549
315770:6646,05/06/18 02:20:23,294,294,0.126217609,0.121797651
315784:6648,05/06/18 11:07:00,126,126,0.053714745,0.051800303
315785:6648,05/06/18 12:23:07,303,303,0.109413795,0.106004136
315786:6648,05/06/18 14:25:10,72,72,0.022718539,0.021848285
315790:6648,05/06/18 18:12:51,921,921,0.176880058,0.173124270
315800:6650,05/07/18 06:55:20,581,581,0.213137166,0.206216972
315801:6650,05/07/18 10:57:12,344,344,0.101138786,0.098535193
315840:6654,05/07/18 21:19:16,1122,1122,0.364441940,0.354113911
315973:6659,05/08/18 23:33:11,855,855,0.285941019,0.278588158
315974:6659,05/09/18 05:17:09,71,71,0.019080288,0.018532308
316058:6662,05/09/18 20:47:16,364,364,0.142756894,0.137198325
316059:6662,05/09/18 23:10:21,566,566,0.178383040,0.170428067
316060:6662,05/10/18 02:53:15,935,935,0.203916010,0.198480126
316061:6662,05/10/18 09:00:15,36,36,0.006254627,0.006146939
316062:6662,05/10/18 10:24:04,4,4,0.000709715,0.000698285
316082:6663,05/10/18 12:45:58,371,371,0.145839976,0.141360754
316110:6666,05/10/18 21:22:27,210,210,0.084663262,0.081970171
316111:6666,05/10/18 22:46:45,48,48,0.017661866,0.015162074
316113:6666,05/10/18 23:16:41,64,64,0.022311808,0.020491414
316114:6666,05/10/18 23:42:59,1561,1561,0.377647738,0.367996897
316153:6672,05/11/18 17:03:13,770,770,0.263571828,0.256242639
316186:6674,05/12/18 03:00:17,44,44,0.017141955,0.015153805
316187:6674,05/12/18 03:18:33,1970,1970,0.534590855,0.512431783
316199:6675,05/12/18 18:55:11,1165,1165,0.416334526,0.401964285
316200:6675,05/13/18 02:29:14,10,10,0.002635848,0.002226192
316201:6675,05/13/18 02:36:34,498,498,0.115958271,0.110093665
316202:6675,05/13/18 05:53:19,403,403,0.077434461,0.075106418
316216:6677,05/13/18 11:57:38,442,442,0.179262174,0.171480475
316217:6677,05/13/18 15:05:03,264,264,0.091442477,0.088159461
316218:6677,05/13/18 16:52:47,1008,1008,0.250382188,0.243233911
316219:6677,05/13/18 23:33:19,283,283,0.050388155,0.048978612
316239:6681,05/14/18 05:52:32,589,589,0.217723473,0.209320577
316240:6681,05/14/18 09:45:29,1224,1224,0.293554612,0.283683862
316241:6681,05/14/18 17:44:39,325,325,0.055296361,0.053194571
316271:6683,05/15/18 00:23:54,86,86,0.032067478,0.029698355
316361:6688,05/15/18 17:14:35,189,189,0.028479204,0.026413888
316362:6688,05/15/18 18:35:04,425,425,0.055678975,0.053916088
316363:6688,05/15/18 21:30:58,48,48,0.004948662,0.004611485
316377:6690,05/16/18 01:56:02,21,21,0.003238999,0.001986070
316378:6690,05/16/18 02:06:22,29,29,0.006210418,0.003336673
316379:6690,05/16/18 02:20:12,70,70,0.014591107,0.008222157
316380:6690,05/16/18 02:51:00,1208,1208,0.179336474,0.175280166
316455:6693,05/16/18 19:16:25,36,36,0.009914479,0.009607184
316457:6693,05/16/18 19:38:28,1454,1454,0.335726476,0.326275938
316469:6694,05/17/18 07:48:25,428,428,0.154006793,0.148879222
316470:6694,05/17/18 11:54:09,476,476,0.121012240,0.116870246
316472:6694,05/17/18 15:00:34,328,328,0.068118644,0.066237491
316505:6696,05/18/18 00:24:11,1319,1319,0.414505291,0.401222651
316569:6700,05/19/18 02:15:13,1888,1888,0.499437562,0.485572357
316590:6702,05/19/18 20:55:25,510,510,0.195348630,0.189248932
316613:6706,05/20/18 07:52:22,193,193,0.032123857,0.031466211
316615:6706,05/20/18 09:12:45,338,338,0.050039803,0.049127397
316666:6709,05/20/18 21:51:33,981,981,0.290503705,0.279383150
316667:6709,05/21/18 04:15:41,197,197,0.043606535,0.042140303
316700:6710,05/21/18 11:45:22,311,311,0.121735715,0.114305225
316701:6710,05/21/18 14:12:33,479,479,0.150662430,0.143934331
316702:6710,05/21/18 17:21:19,388,388,0.098397595,0.095462417
316715:6711,05/22/18 01:10:33,13,13,0.003351276,0.003000557
316716:6711,05/22/18 01:30:21,181,181,0.069728281,0.061793307
316717:6711,05/22/18 02:44:00,192,192,0.066618783,0.063386389
316718:6711,05/22/18 04:00:35,311,311,0.093702615,0.090223177
316719:6711,05/22/18 06:17:36,136,136,0.035382010,0.032449669
316720:6711,05/22/18 07:16:06,182,182,0.043150901,0.041732333
